"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.749833333E-3,5.308757257E-1,7.965361336E0,-1.793173810E0,8.181948580E0
1.170383333E-2,7.884259140E-1,8.549408718E0,-2.254137448E-1,8.588644608E0
2.165783333E-2,1.060293448E0,9.303811803E0,1.142062958E0,9.433421652E0
3.161183334E-2,1.142344283E0,9.963474208E0,2.142161368E0,1.025498045E1
4.156683333E-2,8.466826737E-1,1.047145575E1,2.760634232E0,1.086229066E1
5.152083333E-2,4.712328836E-1,1.066241528E1,3.029414363E0,1.109443606E1
6.147483334E-2,4.562390877E-1,1.033056592E1,2.886524785E0,1.073595695E1
7.142883333E-2,5.873807327E-1,9.944761949E0,2.410182531E0,1.024950175E1
8.138283333E-2,3.886444708E-1,9.821065271E0,1.882325138E0,1.000737306E1
9.133683333E-2,4.464174465E-1,9.387919908E0,1.562807547E0,9.527575565E0
1.012918333E-1,5.745405395E-1,9.036259003E0,1.085555466E0,9.119347798E0
1.112458333E-1,5.723365778E-1,9.036236199E0,4.401795638E-1,9.065036781E0
1.211998333E-1,8.275673948E-1,9.011279697E0,5.577907518E-2,9.049372403E0
1.311538333E-1,1.299049004E0,8.920632652E0,-7.588525245E-1,9.046605572E0
1.411078333E-1,1.925426280E0,8.409780716E0,-1.619851813E0,8.778131803E0
1.510618333E-1,2.042844948E0,7.386753620E0,-9.539814198E-1,7.723174546E0
1.610168333E-1,9.349901019E-1,5.570670419E0,8.339006603E-1,5.709813107E0
