"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.075208333E-3,-2.019395567E0,-1.751584904E0,2.346502844E0,3.556976768E0
1.103020833E-2,-2.743054285E0,-2.790642142E-2,2.288899438E0,3.572700130E0
2.098520833E-2,-3.173813108E0,1.316867225E0,2.329280309E0,4.151237850E0
3.094020833E-2,-3.416747961E0,1.940225437E0,2.169457340E0,4.488338949E0
4.089520833E-2,-2.858925342E0,1.647570539E0,2.039504142E0,3.879113293E0
5.085020833E-2,-1.684403028E0,9.966351038E-1,1.371326437E0,2.389776409E0
6.080504167E-2,-2.215497585E-1,4.792138213E-1,8.311325884E-1,9.846377819E-1
7.076004167E-2,8.782975455E-1,-1.272488612E-1,6.778940231E-1,1.116753848E0
8.071404167E-2,1.540745710E0,-9.640900862E-1,8.744142634E-1,2.016920261E0
9.066904167E-2,2.774641237E0,-1.988397138E0,7.008197862E-1,3.484753297E0
1.006240417E-1,3.717009501E0,-3.980379204E0,3.601113009E-1,5.457953682E0
1.105790417E-1,4.791389769E0,-6.258111776E0,2.508134649E-1,7.885701384E0
1.205340417E-1,3.404289299E0,-6.285379096E0,-2.136999446E-1,7.151282660E0
1.304890417E-1,3.779584649E-1,-6.050387685E0,-8.073811984E-1,6.115709946E0
1.404440417E-1,-1.415589859E0,-6.770963459E0,-1.287771479E0,7.036206094E0
1.503990417E-1,-1.298699341E0,-7.300894275E0,-3.072159848E0,8.026695666E0
1.603540417E-1,-1.448965766E0,-6.787922723E0,-5.946553999E0,9.139852360E0
1.703090417E-1,-2.478401996E0,-5.004634216E0,-6.654030256E0,8.687056966E0
1.802640417E-1,-4.083056896E0,-2.677548221E0,-6.135861114E0,7.841518329E0
1.902190417E-1,-4.850232347E0,-2.269935894E-1,-5.173497126E0,7.095164017E0
2.001740417E-1,-6.293268160E0,2.928700751E0,-5.520262157E0,8.868810884E0
2.101290417E-1,-5.905183194E0,3.253741622E0,-4.797079110E0,8.274659575E0
2.200840417E-1,-2.351687278E0,2.620902734E0,-2.767556165E0,4.478719831E0
2.300390417E-1,-5.676238681E-1,2.573536195E0,-2.236903219E0,3.456735658E0
2.399940417E-1,1.591026940E0,1.653234152E0,-8.126401842E-1,2.434118723E0
2.499490417E-1,2.970035303E0,1.418192455E0,-3.822336566E-1,3.313379258E0
2.599030417E-1,4.147648748E0,1.353140427E0,3.611503512E-2,4.362944355E0
2.698580417E-1,3.704024590E0,1.421218389E0,-1.191618696E-1,3.969113178E0
2.798130417E-1,2.174201332E0,1.686547494E0,-9.866889900E-1,2.923208690E0
2.897680417E-1,1.071358134E0,1.883247828E0,-1.816619391E0,2.827461166E0
2.997230417E-1,1.205710632E0,1.873180093E0,-2.492573308E0,3.342972253E0
3.096780417E-1,1.933573644E0,1.903971530E0,-2.778888946E0,3.884074974E0
3.196330417E-1,2.442680186E0,1.983091375E0,-2.448304330E0,3.986669285E0
3.295880417E-1,2.761031550E0,1.852790267E0,-2.099802384E0,3.932594187E0
3.395430417E-1,3.127725061E0,1.877960191E0,-1.908726194E0,4.117357675E0
3.494980417E-1,3.295863502E0,2.085256850E0,-1.814052171E0,4.301371599E0
3.594530417E-1,3.204227692E0,2.412575796E0,-1.463111643E0,4.269460476E0
3.694080417E-1,3.036857576E0,2.750419731E0,-8.485473508E-1,4.184177964E0
3.793630417E-1,2.975238156E0,3.021153417E0,-9.426793367E-2,4.241261191E0
3.893180417E-1,2.817444609E0,3.052186344E0,1.532353494E-1,4.156599172E0
3.992730417E-1,2.225006035E0,3.122344746E0,5.945396250E-1,3.879840968E0
4.092280417E-1,1.398948976E0,3.149551840E0,8.797264588E-1,3.556775742E0
4.191830417E-1,5.174278606E-1,3.130845428E0,7.797370246E-1,3.267707838E0
4.291380417E-1,-2.448078628E-1,3.028685800E0,8.311334655E-1,3.150182757E0
4.390930417E-1,-1.535574725E0,2.585526495E0,6.957050805E-1,3.086574566E0
4.490470417E-1,-3.162549031E0,1.887409877E0,1.896770976E-1,3.687819114E0
4.590020417E-1,-5.372795963E0,1.202105092E0,6.800229943E-1,5.547470089E0
4.689570417E-1,-6.958609380E0,-3.004299402E-3,1.571484230E0,7.133850028E0
4.789120417E-1,-7.360442319E0,-1.710638607E0,1.784807614E0,7.764530494E0
4.888670417E-1,-7.259222338E0,-2.932516644E0,3.588384790E0,8.612343945E0
4.988220417E-1,-5.446091981E0,-3.443649831E0,4.417946817E0,7.812611349E0
5.087770417E-1,-3.010669944E0,-3.170477271E0,3.212555589E0,5.425548180E0
5.187320417E-1,-2.428186254E0,-2.279460424E0,2.244041792E0,4.015937234E0
5.286870417E-1,-3.526935816E0,-1.321087160E0,3.133047782E0,4.899034185E0
5.386420417E-1,-3.824944425E0,-2.451164496E-1,3.190384994E0,4.986866585E0
5.485970417E-1,-3.126246593E0,-1.108069586E0,1.220172258E0,3.534127375E0
5.585520417E-1,-1.881146193E0,-4.112827994E0,-1.275649617E0,4.699079384E0
5.685070417E-1,5.858866230E-2,-6.416129855E0,-2.718277001E0,6.968442064E0
5.784620417E-1,1.865297023E0,-6.979168190E0,-3.376968768E0,7.974461717E0
5.884170417E-1,3.023827348E0,-6.489128249E0,-3.364786094E0,7.910379430E0
5.983720417E-1,3.399779926E0,-6.293833585E0,-3.567711959E0,7.993710864E0
6.083270417E-1,2.674853824E0,-4.458628235E0,-4.034962378E0,6.581423106E0
6.182810417E-1,9.680506977E-1,-9.201377356E-1,-3.416744745E0,3.668503817E0
6.282360417E-1,2.770859550E-1,1.541536546E0,-5.495850617E-1,1.659866045E0
6.381910417E-1,1.527413327E0,3.276214226E0,2.056914519E0,4.159022537E0
6.481460417E-1,2.773186742E0,3.406779043E0,1.912734168E0,4.791164801E0
6.581010417E-1,3.754801810E0,2.131783145E0,1.135194527E-1,4.319250245E0
6.680560417E-1,4.493869988E0,-3.017882484E-1,-2.017317467E0,4.935130533E0
6.780110417E-1,3.798398358E0,-2.975656816E0,-2.992508200E0,5.677804937E0
6.879660417E-1,2.372222261E0,-4.983331055E0,-1.810716334E0,5.808590234E0
6.979210417E-1,1.433965027E0,-5.936887382E0,-7.876588324E-1,6.158189176E0
7.078760417E-1,1.822987740E0,-5.262619218E0,-1.440508938E0,5.752696005E0
